Source,Target,Weight,Type
163.28.224.36,163.28.224.36,1,Directed
203.163.222.39,104.16.133.229,1,Directed
104.16.133.229,104.16.133.229,1,Directed
203.163.222.39,104.16.123.96,1,Directed
104.16.123.96,104.16.123.96,1,Directed
203.163.222.39,173.245.59.100,1,Directed
173.245.59.100,173.245.59.100,1,Directed
140.123.9.249,140.130.252.251,1,Directed
211.22.226.198,220.128.25.249,1,Directed
220.128.25.249,203.74.40.249,1,Directed
203.74.40.249,61.220.0.246,1,Directed
61.220.0.246,168.95.1.1,1,Directed
168.95.1.1,168.95.1.1,1,Directed
211.22.226.198,220.128.25.241,1,Directed
